date,campaign_id,campaign_name,subgroup_id,subgroup_name,platform,impressions,clicks,cost,conversions,reach,frequency,video_views,engagement_rate,conversion_value,quality_score,likes,shares,comments,ctr,cpc,cpm,cpa,roas
2024-01-23,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,71234,256,90.5,6,58567,1.22,48123,0.0036,,,,,,0.0035937894825504675,0.353515625,1.270460735042255,15.083333333333334,
2024-01-18,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,72345,261,92.7,7,58234,1.24,48567,0.0036,,,,,,0.0036077130416753058,0.35517241379310344,1.2813601492846776,13.242857142857144,
2024-01-19,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,70123,253,89.4,6,57890,1.21,47234,0.0036,,,,,,0.0036079460376766538,0.35335968379446642,1.2749026710209206,14.9,
2024-01-09,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,70123,253,93.6,6,58456,1.2,48234,0.0036,,,,,,0.0036079460376766538,0.36996047430830037,1.334797427377608,15.6,
2024-01-25,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,76890,278,99.2,8,62890,1.23,51567,0.0036,,,,,,0.0036155546885160619,0.35683453237410073,1.2901547665496162,12.4,
2024-01-30,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,72123,261,91.3,7,58890,1.22,48567,0.0036,,,,,,0.0036188178528347406,0.34980842911877391,1.2658929883670951,13.042857142857143,
2024-01-15,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,68456,248,87.6,6,56789,1.21,46234,0.0036,,,,,,0.0036227649877293446,0.35322580645161289,1.279654084375365,14.6,
2024-01-08,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,73456,267,98.3,7,60234,1.22,50123,0.0036,,,,,,0.0036348290132868655,0.36816479400749064,1.3382160749292094,14.042857142857143,
2024-01-16,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,73456,267,94.2,7,59567,1.24,49890,0.0036,,,,,,0.0036348290132868655,0.35280898876404493,1.2824003485079503,13.457142857142857,
2024-01-29,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,69567,253,88.7,6,57123,1.22,46890,0.0036,,,,,,0.0036367818074661837,0.3505928853754941,1.2750298273606739,14.783333333333333,
2024-01-14,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,61234,223,78.9,4,50123,1.22,40567,0.0036,,,,,,0.0036417676454257438,0.35381165919282515,1.2884998530228307,19.725,
2024-01-11,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,76234,278,101.5,8,62456,1.22,52345,0.0037,,,,,,0.0036466668415667549,0.36510791366906475,1.3314269223705959,12.6875,
2024-01-17,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,75890,278,98.5,8,61567,1.23,51234,0.0037,,,,,,0.0036631967321122676,0.35431654676258995,1.2979312162340229,12.3125,
2024-01-22,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,66789,245,84.7,5,54890,1.22,44567,0.0037,,,,,,0.0036682687268861638,0.34571428571428575,1.2681729027235025,16.94,
2024-01-13,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,64567,238,83.4,5,52890,1.22,43234,0.0037,,,,,,0.003686093515263215,0.35042016806722692,1.2916815091300511,16.68,
2024-01-18,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,290123,4189,567.8,44,,,236789,,,,10456,2812,678,0.014438703584341813,0.13554547624731439,1.9571009537334163,12.904545454545454,
2024-01-10,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,256234,3701,490.5,38,,,209234,,,,9123,2423,601,0.014443828687840022,0.13253174817616861,1.9142658663565335,12.907894736842104,
2024-01-20,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,256234,3701,490.5,38,,,209234,,,,9123,2423,601,0.014443828687840022,0.13253174817616861,1.9142658663565335,12.907894736842104,
2024-01-14,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,223456,3234,434.5,32,,,189234,,,,8567,2234,534,0.014472647859086352,0.13435374149659865,1.9444543892309896,13.578125,
2024-01-03,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,223456,3234,434.5,32,,,189234,,,,8567,2234,534,0.014472647859086352,0.13435374149659865,1.9444543892309896,13.578125,
2024-01-08,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,245234,3578,474.3,37,,,203456,,,,8978,2389,590,0.014590146553903619,0.13256008943543879,1.9340711320616228,12.81891891891892,
2024-01-24,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,312345,4567,623.4,48,,,256789,,,,11234,3012,723,0.014621652339560422,0.13650098532953797,1.9958699514959419,12.987499999999999,
2024-01-23,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,289012,4234,556.7,43,,,234567,,,,10345,2789,656,0.014649910730350296,0.13148323098724612,1.9262175965011836,12.946511627906977,
2024-01-16,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,289012,4234,556.7,43,,,234567,,,,10345,2789,656,0.014649910730350296,0.13148323098724612,1.9262175965011836,12.946511627906977,
2024-01-09,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,289012,4234,556.7,43,,,234567,,,,10345,2789,656,0.014649910730350296,0.13148323098724612,1.9262175965011836,12.946511627906977,
2024-01-29,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,289012,4234,556.7,43,,,234567,,,,10345,2789,656,0.014649910730350296,0.13148323098724612,1.9262175965011836,12.946511627906977,
2024-01-30,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,295678,4345,573.2,44,,,241234,,,,10567,2856,667,0.014695039874458025,0.13192174913693902,1.9385953638755675,13.027272727272729,
2024-01-12,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,267890,3945,501.2,40,,,221234,,,,9789,2634,623,0.014726193586920004,0.1270468948035488,1.8709171674941207,12.53,
2024-01-22,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,267890,3945,523.4,40,,,221234,,,,9789,2634,623,0.014726193586920004,0.13267427122940431,1.9537870021277388,13.084999999999999,
2024-01-28,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,267890,3945,501.2,40,,,221234,,,,9789,2634,623,0.014726193586920004,0.1270468948035488,1.8709171674941207,12.53,
2024-01-06,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,267890,3945,523.4,40,,,221234,,,,9789,2634,623,0.014726193586920004,0.13267427122940431,1.9537870021277388,13.084999999999999,
2024-01-01,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,234567,3456,456.7,34,,,198234,,,,8923,2345,567,0.014733530291984806,0.13214699074074074,1.9469916910733394,13.43235294117647,
2024-01-13,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,234567,3456,456.7,34,,,198234,,,,8923,2345,567,0.014733530291984806,0.13214699074074074,1.9469916910733394,13.43235294117647,
2024-01-21,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,234567,3456,445.7,34,,,195234,,,,8756,2234,534,0.014733530291984806,0.12896412037037036,1.9000967740560266,13.108823529411765,
2024-01-11,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,278901,4123,523.6,42,,,234567,,,,10345,2789,656,0.014783023366714354,0.12699490662139221,1.8773686720377483,12.466666666666667,
2024-01-07,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,278901,4123,545.6,42,,,229234,,,,10123,2712,645,0.014783023366714354,0.13233082706766919,1.9562497086779898,12.990476190476191,
2024-01-19,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,278901,4123,545.6,42,,,229234,,,,10123,2712,645,0.014783023366714354,0.13233082706766919,1.9562497086779898,12.990476190476191,
2024-01-27,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,278901,4123,545.6,42,,,229234,,,,10123,2712,645,0.014783023366714354,0.13233082706766919,1.9562497086779898,12.990476190476191,
2024-01-17,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,301234,4456,589.9,46,,,245678,,,,10789,2901,689,0.014792486903868753,0.13238330341113105,1.9582782820000395,12.82391304347826,
2024-01-26,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,301234,4456,589.9,46,,,245678,,,,10789,2901,689,0.014792486903868753,0.13238330341113105,1.9582782820000395,12.82391304347826,
2024-01-05,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,234234,3467,460.2,35,,,199234,,,,8945,2367,578,0.014801437878360956,0.13273723680415345,1.9647019647019648,13.148571428571428,
2024-01-25,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,323456,4789,645.7,50,,,267890,,,,11567,3134,734,0.01480572318955283,0.13482981833368135,1.9962529679461816,12.914000000000001,
2024-01-15,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,246789,3678,478.9,36,,,207345,,,,9234,2456,589,0.014903419520318976,0.13020663404023924,1.940524091430331,13.302777777777777,
2024-01-02,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,245678,3678,478.9,36,,,207345,,,,9234,2456,589,0.014970815457631534,0.13020663404023924,1.9492994895757862,13.302777777777777,
2024-01-04,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,TikTok,256789,3890,512.3,39,,,217456,,,,9567,2567,612,0.01514862396753755,0.13169665809768635,1.9950231513032097,13.135897435897435,
2024-01-25,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,278901,4234,534.2,39,,,223456,,,,9456,2634,623,0.015181014051581027,0.12616910722720834,1.9153749896916827,13.697435897435899,
2024-01-02,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,198345,3012,361.2,25,,,152345,,,,7123,1967,478,0.015185661347651818,0.1199203187250996,1.8210693488618317,14.448,
2024-01-01,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,189234,2890,345.6,23,,,145678,,,,6789,1890,456,0.015272096980458057,0.1195847750865052,1.8263102825073718,15.026086956521739,
2024-01-14,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,195678,2989,361.2,25,,,152345,,,,7123,1967,478,0.015275094798597696,0.12084309133489461,1.845889675896115,14.448,
2024-01-24,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,267890,4123,512.6,37,,,212345,,,,9123,2567,612,0.015390645414162529,0.1243269463982537,1.9134719474411139,13.854054054054055,
2024-01-21,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,201234,3123,374.5,26,,,157890,,,,7345,2034,489,0.015519246250633591,0.11991674671789945,1.861017521889939,14.403846153846153,
2024-01-04,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,201234,3123,374.5,26,,,157890,,,,7345,2034,489,0.015519246250633591,0.11991674671789945,1.861017521889939,14.403846153846153,
2024-01-13,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,201234,3123,374.5,26,,,157890,,,,7345,2034,489,0.015519246250633591,0.11991674671789945,1.861017521889939,14.403846153846153,
2024-01-17,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,256789,4012,489.2,36,,,201234,,,,8901,2456,589,0.015623722199938472,0.12193419740777667,1.9050660269715605,13.588888888888889,
2024-01-26,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,256789,4012,489.2,36,,,201234,,,,8901,2456,589,0.015623722199938472,0.12193419740777667,1.9050660269715605,13.588888888888889,
2024-01-06,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,205678,3234,387.8,27,,,162345,,,,7567,2089,501,0.015723606802866618,0.11991341991341992,1.8854714651056508,14.362962962962964,
2024-01-07,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,212345,3345,401.1,28,,,167890,,,,7789,2145,512,0.01575266665096894,0.11991031390134529,1.8889072029009395,14.325000000000001,
2024-01-15,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,212345,3345,401.1,28,,,167890,,,,7789,2145,512,0.01575266665096894,0.11991031390134529,1.8889072029009395,14.325000000000001,
2024-01-19,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,236789,3734,456.8,33,,,187890,,,,8456,2267,545,0.015769313608317955,0.12233529726834494,1.9291436679913341,13.842424242424244,
2024-01-27,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,236789,3734,456.8,33,,,187890,,,,8456,2267,545,0.015769313608317955,0.12233529726834494,1.9291436679913341,13.842424242424244,
2024-01-09,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,218901,3456,414.4,29,,,173456,,,,8012,2201,523,0.015787958940342895,0.11990740740740741,1.8930932247911156,14.289655172413791,
2024-01-20,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,218901,3456,414.4,29,,,173456,,,,8012,2201,523,0.015787958940342895,0.11990740740740741,1.8930932247911156,14.289655172413791,
2024-01-30,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,251234,3967,481.5,35,,,198901,,,,8678,2378,556,0.015790060262544082,0.12137635492815729,1.9165399587635432,13.757142857142858,
2024-01-18,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,248901,3934,478.5,35,,,195234,,,,8734,2401,578,0.015805480894010068,0.12163192679206915,1.9224510950136802,13.671428571428571,
2024-01-23,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,245678,3890,467.8,34,,,195678,,,,8567,2345,567,0.015833733586238897,0.12025706940874037,1.9041183988798345,13.758823529411766,
2024-01-16,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,245678,3890,467.8,34,,,195678,,,,8567,2345,567,0.015833733586238897,0.12025706940874037,1.9041183988798345,13.758823529411766,
2024-01-29,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,245678,3890,467.8,34,,,195678,,,,8567,2345,567,0.015833733586238897,0.12025706940874037,1.9041183988798345,13.758823529411766,
2024-01-22,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,228901,3634,441.9,31,,,182345,,,,8456,2301,545,0.015875858995810416,0.12160154100165106,1.9305289186154713,14.254838709677419,
2024-01-12,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,228901,3634,441.9,31,,,182345,,,,8456,2301,545,0.015875858995810416,0.12160154100165106,1.9305289186154713,14.254838709677419,
2024-01-28,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,223456,3567,427.7,30,,,178901,,,,8234,2267,534,0.015962874122869827,0.11990468180543874,1.9140233424029784,14.256666666666666,
2024-01-10,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,223456,3567,427.7,30,,,178901,,,,8234,2267,534,0.015962874122869827,0.11990468180543874,1.9140233424029784,14.256666666666666,
2024-01-20,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,389012,6234,967.8,98,,,321234,,,,16901,4912,1345,0.016025212589842987,0.15524542829643886,2.4878409920516589,9.8755102040816318,
2024-01-08,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,389012,6234,967.8,98,,,321234,,,,16901,4912,1345,0.016025212589842987,0.15524542829643886,2.4878409920516589,9.8755102040816318,
2024-01-27,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,423456,6789,1034.5,104,,,356789,,,,18756,5345,1456,0.016032362276127862,0.1523788481366917,2.4429928965465124,9.947115384615385,
2024-01-19,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,423456,6789,1034.5,104,,,356789,,,,18756,5345,1456,0.016032362276127862,0.1523788481366917,2.4429928965465124,9.947115384615385,
2024-01-28,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,401234,6456,989.9,101,,,332345,,,,17234,5012,1378,0.01609036123558821,0.15333023543990087,2.4671388765657944,9.8009900990099013,
2024-01-09,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,401234,6456,989.9,101,,,332345,,,,17234,5012,1378,0.01609036123558821,0.15333023543990087,2.4671388765657944,9.8009900990099013,
2024-01-30,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,434567,7012,1089.3,109,,,367890,,,,19234,5534,1523,0.016135601644855686,0.15534797490017113,2.5066330393242007,9.9935779816513755,
2024-01-18,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,434567,7012,1089.3,109,,,367890,,,,19234,5534,1523,0.016135601644855686,0.15534797490017113,2.5066330393242007,9.9935779816513755,
2024-01-11,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,TikTok,234567,3789,456.8,33,,,189234,,,,8789,2434,567,0.016153167325327091,0.12055951438374242,1.9474180085007695,13.842424242424244,
2024-01-06,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,378901,6123,945.6,96,,,312345,,,,16567,4823,1312,0.016159894009253075,0.15443410093091622,2.4956387024578981,9.85,
2024-01-15,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,378901,6123,945.6,96,,,312345,,,,16567,4823,1312,0.016159894009253075,0.15443410093091622,2.4956387024578981,9.85,
2024-01-17,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,445678,7234,1123.5,113,,,378901,,,,19567,5678,1567,0.016231449611602996,0.15530826651921481,2.520878302272044,9.942477876106194,
2024-01-26,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,445678,7234,1123.5,113,,,378901,,,,19567,5678,1567,0.016231449611602996,0.15530826651921481,2.520878302272044,9.942477876106194,
2024-01-23,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,423456,6890,1056.8,107,,,356789,,,,18890,5456,1489,0.016270875840701277,0.15338171262699563,2.4956548023879694,9.876635514018691,
2024-01-29,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,423456,6890,1056.8,107,,,356789,,,,18890,5456,1489,0.016270875840701277,0.15338171262699563,2.4956548023879694,9.876635514018691,
2024-01-16,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,423456,6890,1056.8,107,,,356789,,,,18890,5456,1489,0.016270875840701277,0.15338171262699563,2.4956548023879694,9.876635514018691,
2024-01-25,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,467890,7623,1189.4,120,,,401234,,,,20789,6034,1678,0.01629229092308021,0.15602781057326512,2.542050481950886,9.9116666666666671,
2024-01-24,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,456789,7456,1167.8,118,,,389012,,,,20234,5912,1623,0.016322634739453008,0.15662553648068669,2.5565414228451209,9.8966101694915256,
2024-01-13,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,367890,6012,923.4,94,,,301234,,,,16234,4789,1289,0.016341841311261519,0.15359281437125749,2.5099893990051374,9.823404255319149,
2024-01-04,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,367890,6012,923.4,94,,,301234,,,,16234,4789,1289,0.016341841311261519,0.15359281437125749,2.5099893990051374,9.823404255319149,
2024-01-21,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,367890,6012,923.4,94,,,301234,,,,16234,4789,1289,0.016341841311261519,0.15359281437125749,2.5099893990051374,9.823404255319149,
2024-01-05,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,356789,5834,901.2,91,,,293456,,,,15890,4634,1256,0.016351400968079174,0.15447377442577992,2.5258626246885414,9.9032967032967036,
2024-01-14,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,356789,5834,901.2,91,,,293456,,,,15890,4634,1256,0.016351400968079174,0.15447377442577992,2.5258626246885414,9.9032967032967036,
2024-01-22,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,398567,6534,998.7,98,,,332345,,,,17756,5012,1389,0.016393730539658327,0.15284664830119377,2.5057267661396958,10.190816326530612,
2024-01-12,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,398567,6534,998.7,98,,,332345,,,,17756,5012,1389,0.016393730539658327,0.15284664830119377,2.5057267661396958,10.190816326530612,
2024-01-03,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,345678,5678,890.1,89,,,289234,,,,15678,4567,1234,0.0164256909609521,0.15676294469883761,2.5749396837519312,10.001123595505618,
2024-01-11,tt_8004,Influencer_Collab,ttad_9004,Creator_Partnership,TikTok,412345,6789,1023.4,103,,,345678,,,,18234,5234,1456,0.016464368429349209,0.15074385034614818,2.481902290557664,9.9359223300970871,
2024-01-08,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,119234,2234,645.6,64,,,85678,,,,4345,1189,223,0.018736266501165773,0.28898836168307968,5.4145629602294649,10.0875,
2024-01-15,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,142345,2678,734.5,73,,,97890,,,,4901,1356,256,0.018813446204643647,0.27427184466019416,5.1599985949629428,10.061643835616438,
2024-01-20,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,142345,2678,734.5,73,,,97890,,,,4901,1356,256,0.018813446204643647,0.27427184466019416,5.1599985949629428,10.061643835616438,
2024-01-03,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,112345,2123,623.4,62,,,82345,,,,4234,1123,212,0.018897147180559883,0.29364107395195477,5.5489785927277575,10.054838709677419,
2024-01-01,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,123456,2345,678.9,67,,,89234,,,,4567,1234,234,0.018994621565578018,0.2895095948827292,5.4991251944012438,10.132835820895522,
2024-01-28,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,148901,2834,756.7,76,,,101234,,,,5012,1423,267,0.019032780169374281,0.26700776287932254,5.08190005439856,9.9565789473684223,
2024-01-12,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,148901,2834,767.5,77,,,103456,,,,5123,1456,278,0.019032780169374281,0.270818630910374,5.15443146788806,9.9675324675324681,
2024-01-22,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,148901,2834,767.5,77,,,103456,,,,5123,1456,278,0.019032780169374281,0.270818630910374,5.15443146788806,9.9675324675324681,
2024-01-14,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,128901,2456,689.5,68,,,91234,,,,4678,1267,237,0.019053382052893305,0.28074104234527686,5.349066337732058,10.139705882352942,
2024-01-21,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,128901,2456,678.9,67,,,89234,,,,4567,1234,234,0.019053382052893305,0.27642508143322475,5.2668326855493754,10.132835820895522,
2024-01-05,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,128901,2456,689.5,68,,,91234,,,,4678,1267,237,0.019053382052893305,0.28074104234527686,5.349066337732058,10.139705882352942,
2024-01-02,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,134567,2567,712.3,71,,,95678,,,,4789,1345,245,0.019075999316325698,0.27748344370860928,5.29327398247713,10.032394366197183,
2024-01-13,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,134567,2567,712.3,71,,,95678,,,,4789,1345,245,0.019075999316325698,0.27748344370860928,5.29327398247713,10.032394366197183,
2024-01-10,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,145678,2789,756.7,76,,,101234,,,,5012,1423,267,0.0191449635497467,0.27131588382932953,5.194332706379825,9.9565789473684223,
2024-01-30,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,161234,3089,823.7,83,,,113456,,,,5523,1589,301,0.019158490144758549,0.26665587568792493,5.1087239664090704,9.92409638554217,
2024-01-18,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,161234,3089,823.7,83,,,113456,,,,5523,1589,301,0.019158490144758549,0.26665587568792493,5.1087239664090704,9.92409638554217,
2024-01-19,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,153456,2945,789.2,79,,,107890,,,,5234,1456,278,0.019191168804087166,0.26797962648556878,5.142842247940778,9.9898734177215189,
2024-01-27,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,153456,2945,789.2,79,,,107890,,,,5234,1456,278,0.019191168804087166,0.26797962648556878,5.142842247940778,9.9898734177215189,
2024-01-11,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,TikTok,156789,3012,812.3,82,,,109876,,,,5456,1567,289,0.019210531351051413,0.26968791500664008,5.180848146234748,9.90609756097561,
